Department
Beshale Branch      (East Addis Ababa District)
Betel Branch      (West Addis Ababa District)
Bethel Rome Sefer Br      (West Addis Ababa District)
Bichena BR      (Bahirdar District)
Billal Branch      (West Addis Ababa District)
Birbir      (Hawassa District)
Bishishe      (Jimma District)
Bishoftu Branch      (Adama District)
Bishoftu Michael      (Adama District)
Bisrate Gebreal Branch      (South Addis Ababa District)
Boditi Branch      (Hossaena District)
Bole 24 Branch      (East Addis Ababa District)
Bole Atlas Branch      (East Addis Ababa District)
Bole Branch      (South Addis Ababa District)
Bole Brass Branch      (East Addis Ababa District)
Bole Bulbula Branch      (South Addis Ababa District)
Bole Bulbula Mariam Ma      (South Addis Ababa District)
Bole Chefe Branch      (East Addis Ababa District)
Bole Eniredada Branch      (East Addis Ababa District)
Bole Jaefer Mesjid      (South Addis Ababa District)
Bole Medhanialem Branc      (East Addis Ababa District)
Bole Michael Branch      (South Addis Ababa District)
Bole Millenium Branch      ()
Bole Shalla Branch      (0)
Bole Stadium Branch      (East Addis Ababa District)
BoleRwanda BR      (South Addis Ababa District)
Bombe      (Hossaena District)
Bonga Branch      (Jimma District)
Bonosha Branch      (Hossaena District)
Bore BR      (Hawassa District)
Bozheber Branch      (Wolikite District)
Branch Banking Department
Buei Branch      (Wolikite District)
Building & Lease Administration Dep't
Bulbula 93 Mazoria BR      (South Addis Ababa District)
Bule Hora Branch      (Hawassa District)
Bunna Board Branch      (South Addis Ababa District)
Burayu BR      (West Addis Ababa District)
Business Programs
Butajira Branch      (Wolikite District)
CMC Branch      (East Addis Ababa District)
Cathedral Branch      (North Addis Ababa District)
Chelalo BR      (Adama District)
Chencha BR      (Hawassa District)
Chief  Finance  Officer
Chief  Information Officer
Chief  Retail and SME Banking  Officer
Chief Executive Officer
Chief Facilities Officer
Chief Strategy officer
Chief Whole Sale  Banking Officer
Chilot      (North Addis Ababa District)
Chiro      (Dire Dawa District)
Chora      (Jimma District)
Churchill BR      (North Addis Ababa District)
Cinema Ras Branch      (West Addis Ababa District)
Company Name      (District Name)
Company Secretary
Corporate Planning & Monitoring
Credit Appraisal Department
Credit Monitoring & Portfolio Mgt
Customer Contact CenterHead Office
Customer Experience & Sevice Quality Mgt. Department
Cyber Security
D Afrique Branch      (West Addis Ababa District)
Damboya Branch      (Hossaena District)
Damota      (Hawassa District)
Dangla Branch      (Bahirdar District)
Dargee Branch      (Wolikite District)
Darmar Branch      (West Addis Ababa District)
Daye      (Hawassa District)
Debre Birhan Branch      (East Addis Ababa District)
Debre Eba      (East Addis Ababa District)
Debre Markos Branch      (Bahirdar District)
Debre Markos Gebeya      (Bahirdar District)
Debre Tabor Branch      (Bahirdar District)
Dejen      (Bahirdar District)
Dembel Corporate      (South Addis Ababa District)
Dembidolo      (Jimma District)
Denbela Branch      (Adama District)
Deputy Chief  Human Capital Officer
Deputy Chief  International Banking Officer
Deputy Chief Digital Banking Officer
Deputy Chief IFB Officer
Deputy Chief Relationship Officer
Dessia Town District Area
Dessie Branch      (Dessie District)
Digelu      (Adama District)
Digital Banking Business & Fintech Mgt
Digital Operations
Digital Transformation Advisory Council
Dilla Branch      (Hawassa District)
Dilla Edget Branch      (Hawassa District)
Dimma      (Jimma District)
Dire Dawa Branch      (Dire Dawa District)
Dire Dawa District
District Business Support
Division  Customer Accounts & Transaction Support
Dodola      (Adama District)
Doyogena Branch      (Hossaena District)
Duberte      (Bahirdar District)
Dukem Branch      (Adama District)
Dukem Eastern Industry      (Adama District)
Durame Branch      (Hossaena District)
Edaga Hamus Branch      (Mekelle District)
Efoyita      (0)
Ehil Berenda Branch      (West Addis Ababa District)
Emdibir Branch      (Wolikite District)
Endegagn Branch      (Wolikite District)
Enqulal Fabrika Branch      (North Addis Ababa District)
Ensino Branch      (Wolikite District)
Enterprise Program Management Officer
Etaya BR      (Adama District)
Ethics Officer
Facilities Management
Fasilo      (Bahirdar District)
Ferensay Legasion Bran      (North Addis Ababa District)
Fiche BR      (North Addis Ababa District)
Finote Selam Branch      (Bahirdar District)
Fintech Managemnet
Flamingo BR      (South Addis Ababa District)
Fonqo Branch      (Hossaena District)
Fund Management & Dealing Division
Furi Adebabay BR      (South Addis Ababa District)
Furi Branch      (South Addis Ababa District)
Gambela Branch      (Jimma District)
Gara Duba BR      (South Addis Ababa District)
Garba Guracha      (North Addis Ababa District)
Geda Branch      (Adama District)
Gedeb Branch      (Hawassa District)
Geija Sefer Branch      (West Addis Ababa District)
Gelan Condominium Br      (South Addis Ababa District)
Gelemso      (Dire Dawa District)
Gelila Branch      (Hawassa District)
Gelimeshira Branch      (Dire Dawa District)
Gerji Branch      (0)
Gerji Giorgis Branch      (East Addis Ababa District)
Gerji Mebrat Hail Bran      (East Addis Ababa District)
Gesuba BR      (Hawassa District)
Ghimbi Branch      (Jimma District)
Ghion      (Bahirdar District)
Gimbichu Branch      (Hossaena District)
Ginbe Gebeya Branch      (Adama District)
Girar      (0)
Goba      (Adama District)
Gofa Gebriel Branch      (South Addis Ababa District)
Gofa Mazoria Branch      (South Addis Ababa District)
Goffa Camp Branch      (0)
Gojjam Berenda      (0)
Golla      (North Addis Ababa District)
Gondar Branch      (Bahirdar District)
Gondar Maraki Branch      (Bahirdar District)
Goro      (East Addis Ababa District)
Goro Bale Branch      (Adama District)
Gotera Branch      (South Addis Ababa District)
Gotera Ibex Branch      (South Addis Ababa District)
Gotera Pepsi Branch      (South Addis Ababa District)
Gulele Branch      (North Addis Ababa District)
Gunchire Branch      (Wolikite District)
Gurdsholla Branch      (East Addis Ababa District)
HR Development
HR Operation Dep't
Habte Giorgis Branch      (North Addis Ababa District)
Hadero Branch      (Hossaena District)
Haik      (Dessie District)
Halaba Kulito Branch      (Hossaena District)
Hanna Mariam Branch      (South Addis Ababa District)
Harar Branch      (Dire Dawa District)
Harar Ras      (Dire Dawa District)
Harufa Branch      (Hawassa District)
Hasasa Branch      (Adama District)
Havana Branch      (Dire Dawa District)
Hawaryat Branch      (Wolikite District)
Hawassa Alamura Branch      (Hawassa District)
Hawassa Atote Branch      (Hawassa District)
Hawassa District
Hawassa Menaheria Br      (Hawassa District)
Hawelti Branch      (Mekelle District)
Hayahulet Mazoria Bran      (East Addis Ababa District)
Hirna      (Dire Dawa District)
Holeta Branch      (West Addis Ababa District)
Homecho Branch      (Hossaena District)
Hosaena Gebeya Branch      (Hossaena District)
Hossaena Menahria Bran      (Hossaena District)
Hossana Arada Branch      (Hossaena District)
Hossana Batena Branch      (Hossaena District)
Hossana Branch      (Hossaena District)
Hossana District
Hossana Gombora Branch      (Hossaena District)
Humbo      (Hawassa District)
Humera Branch      (Bahirdar District)
Huruta Branch      (Adama District)
IBD      (Head Office)
IFB Customer Relationship Management Department
IFB Sales & District Support Division
ILRI Branch      (North East AA District)
IS Application Management Department
IS Infrastracture Management Department
IT Operations Division
Imperial Branch      (East Addis Ababa District)
Imperial Sport Academy      (East Addis Ababa District)
Injibara Branch      (Bahirdar District)
Internal Audit Department
Internet & Mobile Banking Division
Investment Management
Issuie Account & Cash Management  Division
Jacros Branch      (East Addis Ababa District)
Jacros Yerer Branch      (North East AA District)
Jacross Beshale Branch      (East Addis Ababa District)
Jama Degolo      (Head Office)
Jan Meda Branch      (North Addis Ababa District)
Jati Kality      (0)
Jemo Branch      (South Addis Ababa District)
Jigiga Shebele Branch      (Dire Dawa District)
Jijiga Branch      (Dire Dawa District)
Jimma Branch      (Jimma District)
Jimma District
Jimma Menaheria Branch      (Jimma District)
Jinka BR      (Hawassa District)
KYCHead Office
Kagnew Shaleka Branch      (Central AA District)
Kality Branch      (South Addis Ababa District)
Kality Maseltegna Bran      (South East AA District)
Kality Menaharia Bran      (South Addis Ababa District)
Kara Allo      (East Addis Ababa District)
Kara Branch      (0)
Kara Kore Branch      (West Addis Ababa District)
Karamara Branch      (East Addis Ababa District)
Kare Branch      (Wolikite District)
Kasete Birhan      (Mekelle District)
Kazanchis Branch      (North Addis Ababa District)
Kebena      (North Addis Ababa District)
Kefira Branch      (Dire Dawa District)
Kella Branch      (Wolikite District)
Kemise Branch      (Dessie District)
Kera Sar Bet Branch      (South Addis Ababa District)
Kezira Main Branch      (Dire Dawa District)
Kirkos Branch      (South Addis Ababa District)
Kobbo      (Dessie District)
Kolefe Efoyta Branch      (West Addis Ababa District)
Kolfe Atena Tera      (West Addis Ababa District)
Kolfe Branch      (West Addis Ababa District)
Kolfe Fetino Derash      (West Addis Ababa District)
Kolfie Taywan Branch      (West Addis Ababa District)
Kombolcha Branch      (Dessie District)
Kosie Branch      (Wolikite District)
Kotebe 02 Mazoria BR      (0)
Kotebe Branch      (North Addis Ababa District)
Kotebe Gebeya Branch      (North Addis Ababa District)
L.t General W/S Bereka      (Wolikite District)
Lafto Branch      (South Addis Ababa District)
Lakomelza Branch      (Dessie District)
Lalibela Branch      (Dessie District)
Lamberet Branch      (East Addis Ababa District)
Lebu Branch      (South Addis Ababa District)
Lebu Ertu Branch      (South Addis Ababa District)
Lebu Muzika Sefer Bran      (South Addis Ababa District)
Legal Services Department
Legetafo      (East Addis Ababa District)
Lem Megenagna Branch      (0)
Lera Branch      (Hossaena District)
Lideta Branch      (West Addis Ababa District)
Limu Genet      (Jimma District)
Logya Branch      (Dessie District)
Lomi Meda Branch      (West Addis Ababa District)
Mahal Arada Adama BR      (Adama District)
Main Branch      (East Addis Ababa District)
Mamo Kacha Branch      (South Addis Ababa District)
Mareko Koshe Branch      (Wolikite District)
Markating & Branding
Marketing & Communication Division
Masha Branch      (Jimma District)
Mechare      (South Addis Ababa District)
Megenaga Branch      (East Addis Ababa District)
Megenagna Derartu Tulu      (East Addis Ababa District)
Megenagna Gurd Shola      (East Addis Ababa District)
Mehal Lafto Branch      (South Addis Ababa District)
Mehal Merkato Branch      (West Addis Ababa District)
Mehal Summit Branch      (East Addis Ababa District)
Mekanisa Kore      (South Addis Ababa District)
Mekanissa Branch      (South Addis Ababa District)
Mekanissa Michael Bran      (South Addis Ababa District)
Mekele Town District Area
Mekelle Branch      (Mekelle District)
Meki Branch      (Adama District)
Melka Geferssa      (West Addis Ababa District)
Melka Rafu      (Dire Dawa District)
Mendi Branch      (Jimma District)
Merawi      (Bahirdar District)
Meri-Luque Branch      (East Addis Ababa District)
Merkato Dubai Tera Br      (West Addis Ababa District)
Merkato Mirab Branch      (West Addis Ababa District)
Merkato Shera Tera      (West Addis Ababa District)
Mersa      (Dessie District)
Mesebo Branch      (Mekelle District)
Meskel Flower Branch      (South Addis Ababa District)
Metema Yohannes Branch      (Bahirdar District)
Meti      (Jimma District)
Mettu      (Jimma District)
Mexico BR      (0)
Midregenet BR      (Dire Dawa District)
Mike Branch      (Head Office)
Military Tera Branch      (West Addis Ababa District)
Mismartera      (West Addis Ababa District)
Mizan Branch      (Jimma District)
Modjo Branch      (Adama District)
Modjo Derek Wodeb      (Adama District)
Moenco Branch      (East Addis Ababa District)
Motta      (Bahirdar District)
Moyale      (Hawassa District)
Mudula Branch      (Hossaena District)
NIB Head Office      (Head Office)
NIB Premium      (North Addis Ababa District)
Nefas Mewcha      (Bahirdar District)
Negele Borena      (Hawassa District)
Nekemete Branch      (Jimma District)
Network Administrator Management
Nib Ethio-Emawa      (West Addis Ababa District)
Nib Halal Adama      (Adama District)
Nib Halal Aisha BR      (West Addis Ababa District)
Nib Halal Aman Branch      (Hossaena District)
Nib Halal Amin BR      (West Addis Ababa District)
Nib Halal Areboch Tera      (Jimma District)
Nib Halal Autobus Tera      (West Addis Ababa District)
Nib Halal Bidara G Br      (Wolikite District)
Nib Halal Dalocha      (Hossaena District)
Nib Halal Dessie      (Dessie District)
Nib Halal Emana      (West Addis Ababa District)
Nib Halal Geija Sefer      (0)
Nib Halal Gofa Akababi      (South Addis Ababa District)
Nib Halal Gubre Bilal      (Wolikite District)
Nib Halal Hakika      (Hossaena District)
Nib Halal Hossana      (Hossaena District)
Nib Halal Kezira      (Dire Dawa District)
Nib Halal Kibet      (Hossaena District)
Nib Halal Kolfe Efoyta      (West Addis Ababa District)
Nib Halal Mehal Merkat      (0)
Nib Halal Nur Mesgid      (West Addis Ababa District)
Nib Halal Rebie Branch      (Wolikite District)
Nib Halal Shashemene      (Hawassa District)
Nib Halal Silte Mitto      (Hossaena District)
Nib Halal Taqwa Branch      (West Addis Ababa District)
Nib Halal Tora      (Hossaena District)
NibHalal B.Dar Ramadan      (Bahirdar District)
Nifas Silk Branch      (South Addis Ababa District)
North  Addis Ababa District
Oda Branch      (Hawassa District)
Olen Chiti      (Adama District)
Olympia      (South Addis Ababa District)
Online Banking Department
Organizational Design & HR Business Partnering
Peacock Branch      (East Addis Ababa District)
Principal Accountant
Property valuation Department
Qwante Branch      (Wolikite District)
Raguel Branch      (West Addis Ababa District)
Ras Branch      (North Addis Ababa District)
Reconciliation
Research & Dev't
Risk Management & Compliance
Rufael Branch      (North Addis Ababa District)
SARO MARIA FOREX BUR      (0)
SHOA FOREX BUREAU      (0)
Sabian BR      (Dire Dawa District)
Sabian Gulit Branch      (Dire Dawa District)
Sabian Meskelegna      (Dire Dawa District)
Safety & Security
Sagure Branch      (Adama District)
Salo Gora      (South Addis Ababa District)
Sankura Branch      (Hossaena District)
Sarbet BR      (South Addis Ababa District)
Saris Abo Branch      (South Addis Ababa District)
Saris Addisu Sefer Br      (South Addis Ababa District)
Saris Branch      (South Addis Ababa District)
Saris Dama Branch      (0)
Sawula      (Hawassa District)
Sealite Mehret Branch      (East Addis Ababa District)
Sealm Ber      (Hawassa District)
Sebarababur Branch      (North Addis Ababa District)
Sebeta Branch      (South Addis Ababa District)
Sefera Atkilit Tera      (South Addis Ababa District)
Sefere Selam Branch      (West Addis Ababa District)
Semera Branch      (Dessie District)
Senga Tera Branch      (North Addis Ababa District)
Shakiso Branch      (Hawassa District)
Shalla Area Branch      (East Addis Ababa District)
Shashemene Branch      (Hawassa District)
Shecha      (Hawassa District)
Sheger Menafesha Bran      (North Addis Ababa District)
Sheno BR      (East Addis Ababa District)
Shewarobit Branch      (Dessie District)
Shinshicho Branch      (Hossaena District)
Shire Branch      (Mekelle District)
Shiro Meda      (North Addis Ababa District)
Shola Gebeya Branch      (North Addis Ababa District)
Sholla Branch      (North Addis Ababa District)
Shone Branch      (Hossaena District)
Sidamo Tera Branch      (West Addis Ababa District)
Sidist Kilo Branch      (North Addis Ababa District)
South Addis Ababa District
Stadium Branch      (North Addis Ababa District)
Strategy & Change Management Department
Sululta Branch      (North Addis Ababa District)
Summit Branch      (East Addis Ababa District)
Summit CMC Adebabay      (East Addis Ababa District)
Summit Figa      (East Addis Ababa District)
Summit-Goro Branch      (0)
Supply Chain Management Dep't
Tabor      (Hawassa District)
Talent  Acquisition and Management
Talent Acquisition and Onboarding Division
Talent Development & Performance Management
Tana Branch      (West Addis Ababa District)
Tarcha Branch      (Jimma District)
Tatari Branch      (West Addis Ababa District)
Technical Programs
Teklehaimanot Branch      (West Addis Ababa District)
Tele Medhanialem Bra      (0)
Temenja Yazie Branch      (South Addis Ababa District)
Tepi Branch      (Jimma District)
Tewodros Adebabay Bran      (North Addis Ababa District)
Tigat Branch      (North Addis Ababa District)
Tikur Anbesa Branch      (0)
Tiret Branch      (West Addis Ababa District)
Tiya Bitwoded Bahiru      (Wolikite District)
Tiyo Assela      (Adama District)
Togochale Branch      (Dire Dawa District)
Torhayloch Branch      (West Addis Ababa District)
Trade Finance
Training & Development Division
Treasury  Department
Tropical BR      (West Addis Ababa District)
Tulu Bolo BR      (Wolikite District)
Tulu Dimtu Branch      (South Addis Ababa District)
Tulu Jemo Branch      (0)
Tulu Jemo Branch      (North West AA District)
Tuluawulya Branch      (Head Office)
Urael Branch      (East Addis Ababa District)
Vatican Branch      (South Addis Ababa District)
W/Sodo Branch      (Hawassa District)
Wacha      (Jimma District)
Wachemo University      (Hossaena District)
Walga      (Wolikite District)
Wechecha Branch      (South Addis Ababa District)
Werabe Branch      (Hossaena District)
Wereta Branch      (Bahirdar District)
Werka Branch      (Adama District)
Wessen Branch      (North Addis Ababa District)
West Addis Ababa District
Wogel Tena Branch      (Head Office)
Wolayta Sodo Meneharia      (Hawassa District)
Woldiya Branch      (Dessie District)
Woleshe Branch      (Adama District)
Wolkite Branch      (Wolikite District)
Wolkite District
Wolkite University Br      (Wolikite District)
Wolliso Branch      (Wolikite District)
Wollo Sefer Adebabay      (0)
Wollo Sefer Branch      (South Addis Ababa District)
Wuha Limat Branch      (North Addis Ababa District)
Wukro Branch      (Mekelle District)
Yabelo Branch      (Hawassa District)
Yejoka Branch      (Wolikite District)
Yeka      (North Addis Ababa District)
Yeka Abado Branch      (North Addis Ababa District)
Yekake Wordwet Branch      (West Addis Ababa District)
Yerer Ber Branch      (East Addis Ababa District)
Yerer Goro Branch      (0)
Yirga Alem Branch      (Hawassa District)
Yirgachefe Branch      (Hawassa District)
Zebidar Branch      (Wolikite District)
Zenebe Work Gebeya Br      (South Addis Ababa District)
Zequala Bishoftu Bran      (Adama District)
